ch01_001|atmosphere|ˈætməsfɪə(r)|n. 大气层，大气圈；气氛|The approaching examination created a tense atmosphere on the campus.
ch01_002|hydrosphere|ˈhaɪdrəʊsfɪə(r)|n. 水圈；大气中的水汽|All the water of the earth’s surface is included in the hydrosphere.
ch01_003|lithosphere|ˈlɪθəsfɪə(r)|n. 岩石圈|The hydrosphere and the lithosphere together form the earth’s surface.
ch01_004|oxygen|ˈɒksɪdʒən|n. 氧气|Hydrogen and oxygen are gases.
ch01_005|oxide|ˈɒksaɪd|n. 氧化物|Oxide is a part of our daily life.
ch01_006|carbon dioxide|ˌkɑːbən daɪˈɒksaɪd|n. 二氧化碳|Soft drinks usually contain carbon dioxide.
ch01_007|hydrogen|ˈhaɪdrədʒən|n. 氢气|Two parts hydrogen, one part oxygen, you’ll get water every time.
ch01_008|core|kɔː(r)|n. 中心，核心；地核|He is the core of the working group.
ch01_009|crust|krʌst|n. 地壳；外壳|The crust on the snow was thick enough for us to walk on it.
ch01_010|mantle|ˈmæntl|n. 地幔；斗篷，披风 v. 覆盖|Parents often use mantles for their babies to keep warm.
ch01_011|longitude|ˈlɒŋɡɪtjuːd|n. 经度|The captain determines the latitude and longitude of his ship.
ch01_012|latitude|ˈlætɪtjuːd|n. 纬度|Our position is 40 degrees north latitude.
ch01_013|horizon|həˈraɪz(ə)n|n. 地平线；[~s] 眼界，见识|I could see a ship on the horizon.
ch01_014|altitude|ˈæltɪtjuːd|n. 高度，海拔|We are currently flying at an altitude of 8,000 metres.
ch01_015|disaster|dɪˈzɑːstə(r)|n. 灾难|There was a great flood disaster in East China.
ch01_016|mishap|ˈmɪshæp|n. 小灾难|A mishap prevented him from attending the routine company meeting.
ch01_017|catastrophic|ˌkætəˈstrɒfɪk|adj. 灾难性的|If the forecast had been wrong, the consequences could have been catastrophic.
ch01_018|calamity|kəˈlæməti|n. 灾难，不幸的事|A hurricane would be a calamity for this low-lying coastal region.
