ch01_001|atmosphere|ˈætməsfɪə(r)|n. 大气层，大气圈；气氛|The approaching examination created a tense atmosphere on the campus.|[sound:ch01_001_atmosphere.mp3]
ch01_002|hydrosphere|ˈhaɪdrəʊsfɪə(r)|n. 水圈；大气中的水汽|All the water of the earth’s surface is included in the hydrosphere.|[sound:ch01_002_hydrosphere.mp3]
ch01_003|lithosphere|ˈlɪθəsfɪə(r)|n. 岩石圈|The hydrosphere and the lithosphere together form the earth’s surface.|[sound:ch01_003_lithosphere.mp3]
ch01_004|oxygen|ˈɒksɪdʒən|n. 氧气|Hydrogen and oxygen are gases.|[sound:ch01_004_oxygen.mp3]
ch01_005|oxide|ˈɒksaɪd|n. 氧化物|Oxide is a part of our daily life.|[sound:ch01_005_oxide.mp3]
ch01_006|carbon dioxide|ˌkɑːbən daɪˈɒksaɪd|n. 二氧化碳|Soft drinks usually contain carbon dioxide.|[sound:ch01_006_carbon dioxide.mp3]
ch01_007|hydrogen|ˈhaɪdrədʒən|n. 氢气|Two parts hydrogen, one part oxygen, you’ll get water every time.|[sound:ch01_007_hydrogen.mp3]
ch01_008|core|kɔː(r)|n. 中心，核心；地核|He is the core of the working group.|[sound:ch01_008_core.mp3]
ch01_009|crust|krʌst|n. 地壳；外壳|The crust on the snow was thick enough for us to walk on it.|[sound:ch01_009_crust.mp3]
ch01_010|mantle|ˈmæntl|n. 地幔；斗篷，披风 v. 覆盖|Parents often use mantles for their babies to keep warm.|[sound:ch01_010_mantle.mp3]
ch01_011|longitude|ˈlɒŋɡɪtjuːd|n. 经度|The captain determines the latitude and longitude of his ship.|[sound:ch01_011_longitude.mp3]
ch01_012|latitude|ˈlætɪtjuːd|n. 纬度|Our position is 40 degrees north latitude.|[sound:ch01_012_latitude.mp3]
ch01_013|horizon|həˈraɪz(ə)n|n. 地平线；[~s] 眼界，见识|I could see a ship on the horizon.|[sound:ch01_013_horizon.mp3]
ch01_014|altitude|ˈæltɪtjuːd|n. 高度，海拔|We are currently flying at an altitude of 8,000 metres.|[sound:ch01_014_altitude.mp3]
ch01_015|disaster|dɪˈzɑːstə(r)|n. 灾难|There was a great flood disaster in East China.|[sound:ch01_015_disaster.mp3]
ch01_016|mishap|ˈmɪshæp|n. 小灾难|A mishap prevented him from attending the routine company meeting.|[sound:ch01_016_mishap.mp3]
ch01_017|catastrophic|ˌkætəˈstrɒfɪk|adj. 灾难性的|If the forecast had been wrong, the consequences could have been catastrophic.|[sound:ch01_017_catastrophic.mp3]
ch01_018|calamity|kəˈlæməti|n. 灾难，不幸的事|A hurricane would be a calamity for this low-lying coastal region.|[sound:ch01_018_calamity.mp3]
ch01_019|endanger|ɪnˈdeɪndʒə(r)|v. 使遭受危险，危及|If you work hard without rest, you will endanger your health.|[sound:ch01_019_endanger.mp3]
ch01_020|jeopardise|ˈdʒepədaɪz|v. 危害，危及|If you are rude to the boss, your chances of success may be jeopardised.|[sound:ch01_020_jeopardise.mp3]
ch01_021|destructive|dɪˈstrʌktɪv|adj. 破坏性的，有害的|Jealousy is an extremely destructive emotion.|[sound:ch01_021_destructive.mp3]
ch01_022|El Niño|el'ni:njau|n. 厄尔尼诺现象（赤道附近东太平洋水域大范围海水反常增温、鱼群大量死亡的现象）|What changed the equation that year was El Niño.|[sound:ch01_022_El Niño.mp3]
ch01_023|greenhouse|ˈɡriːnhaʊs|n. 温室，暖房|The flowers are grown in the greenhouse.|[sound:ch01_023_greenhouse.mp3]
ch01_024|phenomenon|fəˈnɒmɪnən|n. 现象|Snow is an almost unknown phenomenon in Egypt.|[sound:ch01_024_phenomenon.mp3]
ch01_025|pebble|ˈpeb(ə)l|n. 鹅卵石|The boy put his hand into the money bag and drew out a pebble.|[sound:ch01_025_pebble.mp3]
ch01_026|magnet|ˈmæɡnət|n. 磁铁，吸铁石|He picked all the pins up with a magnet.|[sound:ch01_026_magnet.mp3]
ch01_027|ore|ɔː(r)|n. 矿石；矿|This mountain area is rich in iron ore.|[sound:ch01_027_ore.mp3]
ch01_028|mineral|ˈmɪnərəl|n. 矿物，矿物质；矿产|China is rich in mineral resources.|[sound:ch01_028_mineral.mp3]
ch01_029|marble|ˈmɑːb(ə)l|n. 大理石；（玩具）弹球|They used marble to build the steps.|[sound:ch01_029_marble.mp3]
ch01_030|quartz|kwɔːts|n. 石英|Have you bought the quartz clock?|[sound:ch01_030_quartz.mp3]
ch01_031|granite|ˈɡrænɪt|n. 花岗岩|His grave is made of granite.|[sound:ch01_031_granite.mp3]
ch01_032|gust|ɡʌst|n. 一阵狂风；（感情的）迸发|A gust of wind blew the leaves off the trees.|[sound:ch01_032_gust.mp3]
ch01_033|breeze|briːz|n. 微风，和风|We are enjoying the cool breeze that comes from the lake.|[sound:ch01_033_breeze.mp3]
ch01_034|monsoon|ˌmɒnˈsuːn|n. 季风；雨季|The monsoon brings rain to us.|[sound:ch01_034_monsoon.mp3]
ch01_035|gale|ɡeɪl|n. 大风|We got our roof blown off in a gale last night.|[sound:ch01_035_gale.mp3]
ch01_036|hurricane|ˈhʌrɪkən|n. 飓风；暴风|The hurricane flung their motorboat upon the rocks.|[sound:ch01_036_hurricane.mp3]
ch01_037|tornado|tɔːˈneɪdəʊ|n. 龙卷风|When a tornado touches the ground, it does a lot of damage.|[sound:ch01_037_tornado.mp3]
ch01_038|typhoon|taɪˈfuːn|n. 台风|The typhoon is gathering strength.|[sound:ch01_038_typhoon.mp3]
ch01_039|volcano|vɒlˈkeɪnəʊ|n. 火山|The volcano erupted and two small towns were buried under metres of hot ash, mud and bits of molten rock.|[sound:ch01_039_volcano.mp3]
ch01_040|erupt|ɪˈrʌpt|v. 爆发，喷发；（斑疹等）突然出现|Hot lava erupted from the crust.|[sound:ch01_040_erupt.mp3]
ch01_041|magma|ˈmæɡmə|n. 岩浆|Some types of minerals are made when magma cools and solidifies.|[sound:ch01_041_magma.mp3]
ch01_042|thermodynamic|ˌθɜːməʊdaɪˈnæmɪk|adj. 热力的；热力学的|His theory violates current thermodynamic laws.|[sound:ch01_042_thermodynamic.mp3]
ch01_043|smog|smɒɡ|n. 烟雾，雾霾|The smog was so bad that schoolchildren were advised to stay indoors.|[sound:ch01_043_smog.mp3]
ch01_044|fume|fjuːm|n. [~s]（难闻且常为有害的）烟，气体 v. 冒烟；发怒|Petrol fumes from cars are poisoning the atmosphere.|[sound:ch01_044_fume.mp3]
ch01_045|mist|mɪst|n. 薄雾；水汽；使视线模糊的东西|She could hardly recognise her son through a mist of tears.|[sound:ch01_045_mist.mp3]
ch01_046|tsunami|tsuːˈnɑːmi|n. 海啸|A terrible tsunami followed the earthquake.|[sound:ch01_046_tsunami.mp3]
ch01_047|drought|draʊt|n. 干旱，旱灾|Many areas in Africa have suffered severe drought this year.|[sound:ch01_047_drought.mp3]
ch01_048|flooding|ˈflʌdɪŋ|n. 洪水泛滥|Since the flooding began last month, 16 people have died statewide.|[sound:ch01_048_flooding.mp3]
ch01_049|torrent|ˈtɒrənt|n. 激流，洪流|A torrent of water poured down the mountain.|[sound:ch01_049_torrent.mp3]
ch01_050|earthquake|ˈɜːθkweɪk|n. 地震|Several countries in eastern Europe are counting the losses caused by yesterday’s earthquake.|[sound:ch01_050_earthquake.mp3]
ch01_051|seismic|ˈsaɪzmɪk|adj. 地震的，地震引起的|The discovery of seismic activity suggests geological activity could provide large amounts of heat and minerals.|[sound:ch01_051_seismic.mp3]
